Dates	variable	value	upper_ci	color	type
2020-03-15	True	14	NA	Observed	solid
2020-03-16	True	14	NA	Observed	solid
2020-03-17	True	15	NA	Observed	solid
2020-03-18	True	16	NA	Observed	solid
2020-03-19	True	17	NA	Observed	solid
2020-03-20	True	19	NA	Observed	solid
2020-03-21	True	21	NA	Observed	solid
2020-03-22	True	21	NA	Observed	solid
2020-03-23	True	28	NA	Observed	solid
2020-03-24	True	30	NA	Observed	solid
2020-03-25	True	31	NA	Observed	solid
2020-03-26	True	32	NA	Observed	solid
2020-03-27	True	33	NA	Observed	solid
2020-03-28	True	35	NA	Observed	solid
2020-03-29	True	35	NA	Observed	solid
2020-03-30	True	36	NA	Observed	solid
2020-03-31	True	43	NA	Observed	solid
2020-04-01	True	43	NA	Observed	solid
2020-04-02	True	49	NA	Observed	solid
2020-04-03	True	58	NA	Observed	solid
2020-04-04	True	84	NA	Observed	solid
2020-04-05	True	90	NA	Observed	solid
2020-04-06	True	110	NA	Observed	solid
2020-04-07	True	143	NA	Observed	solid
2020-04-08	True	167	NA	Observed	solid
2020-04-09	True	170	NA	Observed	solid
2020-04-10	True	176	NA	Observed	solid
2020-04-11	True	179	NA	Observed	solid
2020-04-12	True	195	NA	Observed	solid
2020-04-13	True	196	NA	Observed	solid
2020-04-14	True	198	NA	Observed	solid
2020-04-15	True	204	NA	Observed	solid
2020-04-16	True	215	NA	Observed	solid
2020-04-17	True	223	NA	Observed	solid
2020-04-18	True	232	NA	Observed	solid
2020-04-19	True	250	NA	Observed	solid
2020-04-20	True	251	NA	Observed	solid
2020-04-21	True	255	NA	Observed	solid
2020-04-22	True	264	NA	Observed	solid
2020-04-23	True	270	NA	Observed	solid
2020-04-24	True	275	NA	Observed	solid
2020-04-25	True	287	NA	Observed	solid
2020-04-26	True	296	NA	Observed	solid
2020-04-27	True	301	NA	Observed	solid
2020-04-28	True	308	NA	Observed	solid
2020-04-29	True	311	NA	Observed	solid
2020-04-30	True	339	NA	Observed	solid
2020-05-01	True	357	NA	Observed	solid
2020-05-02	True	376	NA	Observed	solid
2020-05-03	True	442	NA	Observed	solid
2020-05-04	True	517	NA	Observed	solid
2020-05-05	True	548	NA	Observed	solid
2020-05-06	True	594	NA	Observed	solid
2020-05-07	True	625	NA	Observed	solid
2020-05-08	mod_2	768	2479	Social distancing	solid
2020-05-08	mod_3	770	2493	No intervention	solid
2020-05-08	mod_4	768	2474	Lockdown with moderate release	solid
2020-05-09	mod_2	874	2950	Social distancing	solid
2020-05-09	mod_3	921	3059	No intervention	solid
2020-05-09	mod_4	821	2790	Lockdown with moderate release	solid
2020-05-10	mod_2	990	3435	Social distancing	solid
2020-05-10	mod_3	1102	3804	No intervention	solid
2020-05-10	mod_4	871	3093	Lockdown with moderate release	solid
2020-05-11	mod_2	1117	4013	Social distancing	solid
2020-05-11	mod_3	1322	4737	No intervention	solid
2020-05-11	mod_4	919	3388	Lockdown with moderate release	solid
2020-05-12	mod_2	1256	4684	Social distancing	solid
2020-05-12	mod_3	1590	5920	No intervention	solid
2020-05-12	mod_4	967	3679	Lockdown with moderate release	solid
2020-05-13	mod_2	1409	5443	Social distancing	solid
2020-05-13	mod_3	1921	7538	No intervention	solid
2020-05-13	mod_4	1014	3963	Lockdown with moderate release	solid
2020-05-14	mod_2	1577	6273	Social distancing	solid
2020-05-14	mod_3	2335	9685	No intervention	solid
2020-05-14	mod_4	1062	4281	Lockdown with moderate release	solid
2020-05-15	mod_2	1765	7294	Social distancing	solid
2020-05-15	mod_3	2853	12575	No intervention	solid
2020-05-15	mod_4	1110	4595	Lockdown with moderate release	solid
2020-05-16	mod_2	1974	8455	Social distancing	solid
2020-05-16	mod_3	3508	16369	No intervention	solid
2020-05-16	mod_4	1160	4932	Lockdown with moderate release	solid
2020-05-17	mod_2	2205	9829	Social distancing	solid
2020-05-17	mod_3	4340	21517	No intervention	solid
2020-05-17	mod_4	1209	5267	Lockdown with moderate release	solid
2020-05-18	mod_2	2465	11373	Social distancing	solid
2020-05-18	mod_3	5405	28422	No intervention	solid
2020-05-18	mod_4	1262	5639	Lockdown with moderate release	solid
2020-05-19	mod_2	2757	13176	Social distancing	solid
2020-05-19	mod_3	6787	37507	No intervention	solid
2020-05-19	mod_4	1316	6010	Lockdown with moderate release	solid
2020-05-20	mod_2	3091	15314	Social distancing	solid
2020-05-20	mod_3	8584	49921	No intervention	solid
2020-05-20	mod_4	1373	6440	Lockdown with moderate release	solid
2020-05-21	mod_2	3469	17940	Social distancing	solid
2020-05-21	mod_3	10942	66338	No intervention	solid
2020-05-21	mod_4	1434	6856	Lockdown with moderate release	solid
2020-05-22	mod_2	3900	20834	Social distancing	solid
2020-05-22	mod_3	14053	88529	No intervention	solid
2020-05-22	mod_4	1499	7362	Lockdown with moderate release	solid
2020-05-23	mod_2	4393	24345	Social distancing	solid
2020-05-23	mod_3	18169	118052	No intervention	solid
2020-05-23	mod_4	1568	7917	Lockdown with moderate release	solid
2020-05-24	mod_2	4959	28253	Social distancing	solid
2020-05-24	mod_3	23608	157907	No intervention	solid
2020-05-24	mod_4	1647	8499	Lockdown with moderate release	solid
2020-05-25	mod_2	5615	32970	Social distancing	solid
2020-05-25	mod_3	30790	210272	No intervention	solid
2020-05-25	mod_4	1731	9118	Lockdown with moderate release	solid
2020-05-26	mod_2	6375	38611	Social distancing	solid
2020-05-26	mod_3	40204	281624	No intervention	solid
2020-05-26	mod_4	1826	9886	Lockdown with moderate release	solid
2020-05-27	mod_2	7260	45251	Social distancing	solid
2020-05-27	mod_3	52433	375586	No intervention	solid
2020-05-27	mod_4	1932	10763	Lockdown with moderate release	solid
